Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC
685.1,0,BGE,Coal,1,1,0,0,23.57,1.01,0.95
685.1,0,BGE,Coal,1,1,0,0,23.57,1.01,0.95
132.8,0,BGE,Oil,1,1,0,0,40,0.82,0.98
359,0,BGE,Coal,1,1,0,0,23.57,1.01,0.95
414.7,0,BGE,Oil,1,1,0,0,40,0.82,0.98
16,0,BGE,Oil,1,1,0,0,40,0.82,0.98
53.1,0,BGE,Oil,1,1,0,0,40,0.82,0.98
53.1,0,BGE,Oil,1,1,0,0,40,0.82,0.98
53.1,0,BGE,Oil,1,1,0,0,40,0.82,0.98
192,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
141,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
20.7,0,BGE,Oil,1,1,0,0,40,0.82,0.98
20.7,0,BGE,Oil,1,1,0,0,40,0.82,0.98
20.7,0,BGE,Oil,1,1,0,0,40,0.82,0.98
20.7,0,BGE,Oil,1,1,0,0,40,0.82,0.98
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
18.6,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
162,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
10,0,APS_MD,Hydro,0,0,1,0,0,0,0.5
10,0,APS_MD,Hydro,0,0,1,0,0,0,0.5
659,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
659,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
35,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
103,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
103,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
125,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
125,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
19,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
163,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
163,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
65,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
65,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
65,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
65,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
18,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
18,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
626,0,PEPCO,Coal,1,1,0,0,23.57,1.01,0.95
626,0,PEPCO,Coal,1,1,0,0,23.57,1.01,0.95
45,0,BGE,Hydro,0,0,1,0,0,0,0.5
55.6,0,BGE,Hydro,0,0,1,0,0,0,0.5
55.6,0,BGE,Hydro,0,0,1,0,0,0,0.5
36,0,BGE,Hydro,0,0,1,0,0,0,0.5
48,0,BGE,Hydro,0,0,1,0,0,0,0.5
47.7,0,BGE,Hydro,0,0,1,0,0,0,0.5
36,0,BGE,Hydro,0,0,1,0,0,0,0.5
47.7,0,BGE,Hydro,0,0,1,0,0,0,0.5
48,0,BGE,Hydro,0,0,1,0,0,0,0.5
55.6,0,BGE,Hydro,0,0,1,0,0,0,0.5
55.6,0,BGE,Hydro,0,0,1,0,0,0,0.5
3.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
3.8,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
4.1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
5.6,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
5.6,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
3,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
5.4,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
5.4,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
6.2,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
6.2,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
6.3,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
6.3,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
918,400,PEPCO,Nuc,0,1,0,1,9,0,0.99
932.4,400,PEPCO,Nuc,0,1,0,1,9,0,0.99
0.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1.1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
2,0,DPL_MD,NGCT,0,1,0,0,33.65,0.59,0.98
198.9,0,DPL_MD,NGCT,0,1,0,0,33.65,0.59,0.98
175.9,0,DPL_MD,NGCT,0,1,0,0,33.65,0.59,0.98
198.9,0,DPL_MD,NGCT,0,1,0,0,33.65,0.59,0.98
198.9,0,DPL_MD,NGCT,0,1,0,0,33.65,0.59,0.98
60.2,0,BGE,MSW,0,1,0,0,15,1.49,0.43
4.3,0,BGE,MSW,0,1,0,0,15,1.49,0.43
229,0,APS_MD,Coal,1,1,0,0,23.57,1.01,0.95
1.9,0,DPL_MD,Bio,0,1,0,0,20,0.99,0.43
1.9,0,DPL_MD,Bio,0,1,0,0,20,0.99,0.43
1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
67.8,0,PEPCO,MSW,0,1,0,0,15,1.49,0.43
5,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
2.5,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
10,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
98.7,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
98.7,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
91.4,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
11,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
11,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
5.4,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
2.1,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
1,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43
1,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43
1,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43
28,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43
223.6,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
223.6,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
328.1,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
40,0,APS_MD,WindOn,0,0,1,0,5,0,0.28
10,0,APS_MD,WindOn,0,0,1,0,5,0,0.28
70,0,APS_MD,WindOn,0,0,1,0,5,0,0.28
1.4,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
13.7,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2.1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
5.7,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
2.3,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
2.3,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
5,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
2.3,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
4.3,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
4.3,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
4.3,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
4.3,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
7.5,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
7.5,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
4.5,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
